Name,Start Date,Organisation ,Date Closed,Final Value,Investigation Outcome Desc
INV/0915/2021,29/11/2021,Direct Clothing Company ,26/07/2022,0,Reprimand
INV/0779/2021,09/07/2021,Partyrama ,26/07/2022,0,Advice provided
INV/0839/2021,28/09/2021,SITA ,01/09/2022,0,No further action
INV/0160/2021,26/01/2021,Swinburne Snowball & Jackson ,09/09/2022,0,Reprimand
INV/0848/2021,24/06/2021,Ginger Ray Ltd ,27/09/2022,0,Advice provided
INV/0471/2021,16/03/2021,Acer UK Limited ,28/09/2022,0,No further action
