Name,Organisation,Final Value,Date Closed,Investigation Outcome Desc
,,,,
INV/0005/2021, IQPC Limited ,0,12/04/2021,No action for DC
INV/0375/2021, SLR Consulting Limited ,0,12/04/2021,Advice provided
INV/0377/2021, Stella Imports Limited  ,0,12/04/2021,Advice provided
INV/0378/2021, The Good Spirits Company (Scotland) Limited ,0,12/04/2021,Advice provided
INV/0007/2021, Worldwide Business Research Limited ,0,13/04/2021,No action for DC
INV/0302/2021, Wyvern Credit Union Limited ,0,13/04/2021,No action for DC
INV/0322/2021, Booking.com Transport Limited ,0,13/04/2021,No action for DC
INV/0336/2021, Oundle School ,0,13/04/2021,No action for DC
INV/0341/2021, Gyrodata EAC ,0,13/04/2021,No action for DC
INV/0355/2021, CPS Holdings ,0,13/04/2021,No action for DC
INV/0364/2021, Mazars LLP Chartered Accountants  ,0,13/04/2021,No action for DC
INV/0370/2021,Assured Mortgage Services ,0,13/04/2021,No action for DC
INV/0392/2021, Missguided Limited ,0,13/04/2021,No action for DC
INV/0394/2021, Leeds Community Foundation ,0,13/04/2021,No action for DC
INV/0395/2021, Digiterre (UK) Limited ,0,13/04/2021,No action for DC
INV/0396/2021, Career Legal Ltd ,0,13/04/2021,No action for DC
INV/0398/2021, Redmans Limited ,0,13/04/2021,No action for DC
INV/0410/2021, HSDC ,0,13/04/2021,No action for DC
INV/0412/2021, Diocese of Hexham and Newcastle ,0,13/04/2021,No action for DC
INV/0417/2021," Department for Business, Energy & Industrial Strategy ",0,13/04/2021,No action for DC
INV/1726/2020, Parrott & Coales LLP ,0,13/04/2021,Advice provided
INV/1733/2020, Power Tool Centre Limited ,0,13/04/2021,No Personal Data
INV/0457/2021, Cambridge Meridian Academies Trust  ,0,14/04/2021,No action for DC
INV/0461/2021, iHerb LLC ,0,14/04/2021,No action for DC
INV/0462/2021, Digiland Ltd ,0,14/04/2021,No action for DC
INV/0465/2021, Life at Parliament View Ltd  ,0,14/04/2021,No action for DC
INV/0102/2021, The Princethorpe Foundation ,0,15/04/2021,No action for DC
INV/0118/2021, Camberley and District Club ,0,15/04/2021,No action for DC
INV/0158/2021, Truro School ,0,15/04/2021,No action for DC
INV/0235/2021, The Ehlers-Danlos Support UK,0,15/04/2021,No action for DC
INV/0277/2021, WestRock Packaging Systems UK Limited ,0,15/04/2021,No action for DC
INV/0409/2021, Finsa ,0,15/04/2021,No action for DC
INV/0411/2021, M Moser Associates Ltd ,0,15/04/2021,No action for DC
INV/0451/2021, Unita Family Office UK Ltd ,0,15/04/2021,No action for DC
INV/0503/2021, University of Northampton ,0,15/04/2021,No action for DC
INV/1321/2020, Dr Reddy's Laboratories ,0,15/04/2021,No action for DC
INV/1538/2020, Purcell Parker Solicitors  ,0,15/04/2021,No action for DC
