ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_StartDate,CRIMSON_ClosedDate,CRIMSON_InvestigationOutcome,CRIMSON_DataController,Final Value
IC-112828-V1W8,Retail and manufacture,Manufacturing,Personal Data Breach,Investigation Pursued,GDPR,16/06/2021,17/06/2021,INV/0091/2022,14/03/2022,03/01/2024,No action for DC,Eggfree Cake Box Limited,0
IC-248029-Q8M4,Charitable and voluntary,Local charities,Personal Data Breach,Investigation Pursued,GDPR,06/06/2023,03/08/2023,INV/0340/2023,27/10/2023,25/01/2024,No action for DC,Enfield Grammar School,0
IC-237276-H4G8,Education and childcare,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,27/02/2023,31/03/2023,INV/0180/2023,28/06/2023,09/02/2024,No action for DC,Glovers Solicitors LLP,0
IC-235761-R3T5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,26/05/2023,21/07/2023,INV/0329/2023,18/10/2023,09/02/2024,No action for DC,Eve Taylor (London) Limited,0
IC-236281-L8G3,Regulators,Ombudsman,Personal Data Breach,Investigation Pursued,GDPR,27/07/2023,18/08/2023,INV/0358/2023,10/11/2023,20/02/2024,No further action,Hale (Health Action Local Engagement),0
IC-218333-S7X6,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,01/06/2023,03/07/2023,INV/0297/2023,28/09/2023,27/02/2024,No action for DC,The Pensions Ombudsman,0
