Name,Start Date,Organisation,Date Closed,Final Value,Investigation Outcome Desc
INV/0992/2020,26/08/2020,Tuckers Solicitors LLP,07/04/2022,0,Fine - higher tier
INV/0840/2021,05/07/2021,Malcolm C Foy & Co Ltd,13/04/2022,0,No further action
INV/0015/2022,13/01/2022,Brookland Computer Services Ltd,14/04/2022,0,No further action
INV/0371/2021,04/03/2021,Nouveau Beauty Group Ltd,13/06/2022,0,No further action
INV/0886/2021,17/08/2021,Isle of Wight Education Federation,17/06/2022,0,No further action
INV/0887/2021,17/08/2021,Barton Primary School,17/06/2022,0,No further action
INV/0888/2021,17/08/2021,Hunnyhill Primary School,17/06/2022,0,No further action
INV/0889/2021,17/08/2021,Lanesend Primary School,17/06/2022,0,No further action
