ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_StartDate,CRIMSON_ClosedDate,CRIMSON_InvestigationOutcome,CRIMSON_DataController,Final Value
IC-217397-Q2W7,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,18/02/2023,17/03/2023,INV/0144/2023,24/05/2023,01/07/2024,Reprimand,Levales Solicitors LLP,0
IC-221412-V3Q3,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,11/03/2023,19/04/2023,INV/0204/2023,14/07/2023,04/07/2024,Advice provided,Armstrong Watson LLP,0
IC-64699-Y2S7,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Personal Data Breach,Investigation Pursued,GDPR,12/10/2020,13/10/2020,INV/1238/2020,12/10/2020,23/07/2024,Reprimand,London Borough of Hackney,0
IC-198495-L0C5,Regulators,Regulatory Body,Personal Data Breach,Investigation Pursued,GDPR,20/10/2022,09/11/2022,INV/0420/2022,01/12/2022,06/08/2024,Reprimand,The Electoral Commission,0
IC-272557-L4J0,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,GDPR,23/11/2023,17/01/2024,INV/0062/2024,11/04/2024,29/08/2024,No further action,CTS Group Management Limited,0
