ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_StartDate,CRIMSON_ClosedDate,CRIMSON_InvestigationOutcome,CRIMSON_DataController,Final Value
IC-208358-X9S3,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,27/12/2022,23/01/2023,INV/0100/2023,21/04/2023,12/04/2024,Advice provided,Arnold Clark Automobiles Limited,0
IC-167555-V0H2,General business,Security,Personal Data Breach,Investigation Pursued,GDPR,25/04/2022,17/05/2022,INV/0037/2023,16/02/2023,24/04/2024,No further action,Wilson James Ltd,0
IC-259576-H0N0,Health,Healthcare and pharmaceuticals,Personal Data Breach,Investigation Pursued,GDPR,22/09/2023,16/11/2023,INV/0035/2024,13/02/2024,26/04/2024,Advice provided,Baywater Healthcare UK Limited,0
IC-221983-S2W8,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,15/03/2023,06/04/2023,INV/0191/2023,03/07/2023,08/05/2024,Advice provided,Ruthven Keenan Pollock Solicitors,0
IC-233063-S4T8,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,17/05/2023,07/07/2023,INV/0306/2023,04/10/2023,04/06/2024,No further action,Jacklyn Dawson Solicitors,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0207/2023,17/07/2023,06/06/2024,Advice provided,Evide Impact Limited,0
