Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0265/2021,Franke UK Ltd,06/10/2021,No further action
IC/0279/2021,L Ziman & Associates Ltd,06/10/2021,No further action
IC/0226/2021,"Marsh & McLennan Companies, Inc.",06/10/2021,No further action
IC/0264/2021,Colchester Institute,07/10/2021,No further action
IC/0238/2021,Tickle Hall Cross ,07/10/2021,No further action
IC/0382/2021,3 Verulam Buildings,07/10/2021,No further action
IC/0263/2021,Walstead United Kingdom Limited,07/10/2021,No further action
IC/0317/2021,Gateley Plc,12/10/2021,No further action
IC/0577/2021,Chris Stevens Trade Discount Centre,13/10/2021,No Personal Data Involved
IC/0578/2021,Symmetry Investments UK LLP,13/10/2021,No further action
IC/0325/2021,Chubb European Group SE,20/10/2021,No further action
IC/0599/2021,Linear Investments Limited,20/10/2021,No further action
IC/0552/2021,Symphony Coatings Group,20/10/2021,No further action
IC/0553/2021,Woodchurch High School,20/10/2021,No further action
IC/0567/2021,Choice Support,21/10/2021,No further action
IC/0546/2021,Penge Churches Housing,28/10/2021,No further action
IC/0376/2021,Wakefields Nottingham Limited,28/10/2021,No further action
IC/0371/2021,Now: Pensions Ltd,29/10/2021,No further action
IC/0311/2021,Glasgow Caledonian University,01/11/2021,No further action
IC/0349/2021,Furniture Village,02/11/2021,No further action
IC/0347/2021,L Ziman and and Associates Ltd,02/11/2021,No further action
IC/0374/2021,Mercedes-AMG Gmbh,02/11/2021,No further action
IC/0360/2021,M & J Evans Group Ltd,02/11/2021,No further action
IC/0558/2021,4Sight Vision Support,03/11/2021,No further action
IC/0334/2021,George Wilson Industries Limited,03/11/2021,No further action
IC/0401/2021,JDB Enterprise Group,03/11/2021,No further action
IC/0439/2021,Jeffery West and Co Limited,03/11/2021,No further action
IC/0598/2021,John W Davies Legal Limited,03/11/2021,No further action
IC/0440/2021,Leger Education Trust,03/11/2021,No further action
IC/0458/2021,Nicholson Portnell Solicitors,03/11/2021,No further action
IC/0452/2021,Anon DC,03/11/2021,No further action
IC/0632/2021,Black and Banton Occupational and Physical Health Ltd,03/11/2021,No further action
IC/0600/2021,Poole Grammar School,03/11/2021,No further action
IC/0450/2021,Aerzen Machines Limited,08/11/2021,No further action
IC/0442/2021,New Horizon Youth Centre,09/11/2021,No further action
IC/0624/2021,Genvey 1A N.V.,09/11/2021,No further action
IC/0470/2021,University of Winchester,09/11/2021,No further action
IC/0391/2021,Lensbury Limited,12/11/2021,No further action
IC/0735/2021,First Central Insurance Management Limited,12/11/2021,No Personal Data Involved
IC/0438/2021,Franklin University Switzerland,15/11/2021,No further action
IC/0193/2021,University of Portsmouth,16/11/2021,No further action
IC/0433/2021,National Westminster Bank,16/11/2021,No further action
IC/0159/2021,Condor Ferries Limited,18/11/2021,No further action
IC/0359/2021,Darwin Group Limited,18/11/2021,No further action
IC/0738/2021,d'Overbroeck's Limited,19/11/2021,No further action
IC/0739/2021,Puma Investment Management Limited,19/11/2021,No further action
IC/0361/2021,Shamrock House Residential Home,23/11/2021,No further action
IC/0555/2021,Nottingham City Transport Limited,23/11/2021,No further action
IC/0477/2021,Woottens of Wenhaston,23/11/2021,No further action
IC/0291/2021,Angus Council,30/11/2021,No further action
IC/0610/2021,Charles Crown Financial,08/12/2021,No further action
IC/0460/2021,Countrywide Estate Agents,08/12/2021,No further action
IC/0554/2021,FLRT LLC,08/12/2021,No further action
IC/0604/2021,Holmesdale School (part of Greensand Multi Academy Trust),08/12/2021,No further action
IC/0717/2021,Monzo Bank Ltd,08/12/2021,No further action
IC/0658/2021,Brewdog,08/12/2021,No Personal Data Involved
IC/0631/2021,Powerleague Fives Limited,08/12/2021,No further action
IC/0411/2021,London and Quadrant Housing Trust,10/12/2021,No further action
IC/0413/2021,Notting Hill Genesis,10/12/2021,No further action
IC/0412/2021,Peabody Trust,10/12/2021,No further action
IC/0345/2021,4 New Square Limited,15/12/2021,No further action
IC/0718/2021,Bangkok Airways,15/12/2021,No further action
IC/0350/2021,Proddow Mackay Solicitors LLP,15/12/2021,No further action
IC/0724/2021,St Peter's School,15/12/2021,No further action
IC/0663/2021,University of Sunderland,15/12/2021,No further action
IC/0448/2021,Open House London Limited,17/12/2021,No further action
IC/0758/2021,Brampton Medical Practice,23/12/2021,No further action
IC/0750/2021,British Pregnancy Advisory Service,23/12/2021,No further action
IC/0746/2021,Europcar Group UK Limited,23/12/2021,No further action
IC/0753/2021,Framework Housing Association,23/12/2021,No further action
IC/0751/2021,HCA International Limited,23/12/2021,No further action
IC/0749/2021,Leicester City Council,23/12/2021,No further action
IC/0826/2021,MSI Reproductive Choices UK,23/12/2021,No further action
IC/0748/2021,Nuffield Health,23/12/2021,No further action
