Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0092/2021,Assimilated Communications Ltd,28/04/2021,No further action
IC/0263/2020,Honda UK,28/04/2021,No Personal Data Involved
IC/0445/2020,Universal Health Services Inc,28/04/2021,No further action
IC/0384/2020,The Ritz London,28/04/2021,No further action
IC/0541/2020,BRANDNEWTUBE,14/05/2021,No further action
IC/0489/2020,Medimmune Limited ,14/05/2021,No further action
IC/0207/2021,Chargemaster Limited,28/05/2021,No further action
IC/0195/2021,Alexander Dennis Limited,17/06/2021,No further action
IC/0186/2021,Embark Services Limited,17/06/2021,No further action
IC/0209/2021,Hunter Wealth Management,17/06/2021,No further action
IC/0158/2021,Lincolnshire County Scout Council Executive,17/06/2021,No further action
IC/0172/2021,Royal College of Occupational Therapists,17/06/2021,No further action
IC/0220/2021,Worldwide Currencies Limited,17/06/2021,No further action
IC/0200/2021,Keltbray Limited,17/06/2021,No further action
IC/0221/2021,Parkhead Welding Co Ltd,17/06/2021,No further action
IC/0278/2021,Chamberlain Martin Solicitors,18/06/2021,No further action
IC/0236/2021,Plymouth CAST Multi Academy Trust (Notre Dame School),22/06/2021,No further action
IC/0246/2021,Awaze Vacation Rentals,23/06/2021,No further action
IC/0178/2021,Lifeways Community Care ,23/06/2021,No further action
IC/0224/2021,Swedish Orphan Biovitrum Ltd,23/06/2021,No further action
IC/0228/2021,Area Camden Ltd,24/06/2021,No further action
IC/0177/2021,Pixie Payroll,24/06/2021,No further action
IC/0247/2021,Studio Retail Limited,24/06/2021,No further action
IC/0208/2021,North West Independent Hospital,30/06/2021,No further action
