Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0063/2022,MLL Limited,04/03/2022,No further action
IC/0065/2022,Greencore Group plc,04/03/2022,No further action
IC/0125/2022,Forterra Building Products Limited,09/03/2022,No further action
IC/0126/2022,Tahir Group,09/03/2022,No further action
IC/0127/2022,Coinford Ltd,09/03/2022,No further action
IC/0627/2021,Wilson McLeod Solicitors,09/03/2022,No further action
IC/0645/2021,Reclamet Holdings Limited,09/03/2022,No further action
IC/0770/2021,Warwick Capital Partners LLP,09/03/2022,No further action
IC/0058/2022,Milton Keynes College,10/03/2022,No further action
IC/0760/2021,Wolseley UK Limited,10/03/2022,No further action
IC/0106/2022,GoDaddy.com LLC,15/03/2022,No further action
IC/0608/2021,Mecalac Construction Equipment Ltd,15/03/2022,No further action
IC/0897/2021,GiffGaff,21/03/2022,No further action
IC/0156/2022,Charles Kendall & Partners Limited,24/03/2022,No further action
IC/0167/2022,The Oaks Counselling Service Limited,24/03/2022,No further action
IC/0013/2022,Countrywide Residential Lettings Limited,30/03/2022,No further action
IC/0112/2022,Williams Advanced Engineering Limited,30/03/2022,No further action
IC/0356/2021,Better Futures Multi,30/03/2022,No further action
IC/0388/2021,Turton & Edgworth Church of England Methodist Primary School,30/03/2022,No further action
IC/0550/2021,Performive LLC,30/03/2022,No further action
IC/0615/2021,William Reed Business Media,30/03/2022,No further action
IC/0866/2021,James Hall & Co Ltd,30/03/2022,No further action
