ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_IncidentOutcome,CRIMSON_DataController
IC-295842-M7Q5,Membership association,Employment and Trade Unions,Personal Data Breach,Investigation Pursued,GDPR,21/03/2024,19/04/2024,IC/0175/2024,19/04/2024,01/07/2024,Advice provided,Communication Workers Union
IC-296242-F2Y3,Charitable and voluntary,National charities,Personal Data Breach,Investigation Pursued,GDPR,22/03/2024,17/04/2024,IC/0174/2024,19/04/2024,03/07/2024,Advice provided,Big Issue Group
IC-300063-X6Y6,Central Government,Non-departmental public body,Personal Data Breach,Investigation Pursued,GDPR,11/04/2024,24/05/2024,IC/0230/2024,23/05/2024,16/07/2024,No further action,National Records of Scotland
IC-297495-Z9N6,Justice,Police Authority,Personal Data Breach,Informal action taken,GDPR,28/03/2024,21/06/2024,IC/0222/2024,17/05/2024,20/08/2024,No further action,Capita PLC
IC-298514-R5Y2,Health,Healthcare and pharmaceuticals,Personal Data Breach,Investigation Pursued,GDPR,05/04/2024,26/04/2024,IC/0186/2024,26/04/2024,20/09/2024,Advice provided,Medequip Assistive Technology Ltd
IC-281844-C6X1,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,GDPR,16/01/2024,01/07/2024,IC/0291/2024,01/07/2024,23/09/2024,No further action,Microsoft Ireland Operations Limited
IC-281879-B1P2,Online Technology and Telecoms,Service providers,Personal Data Breach,No Further Action,GDPR,15/01/2024,01/02/2024,IC/0252/2024,10/06/2024,25/09/2024,Advice provided,Sage Global Services Limited
