ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_DataController
IC-381695-K5M6,"Finance, insurance and credit",Debt collection/tracing,Personal Data Breach,Investigation Pursued,GDPR,24/04/2025,30/07/2025,IC/0199/2025,Closed after intervention–in line with RAP,30/07/2025,14/10/2025,Lantern Debt Recovery Services Limited
IC-427624-G0Q6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IC/0283/2025,Closed after intervention–in line with RAP,03/10/2025,18/11/2025,Nexus Productions Limited
IC-423966-J8J8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IC/0281/2025,Closed after intervention–in line with RAP,25/09/2025,18/11/2025,HSBC UK Bank Plc 
IC-431508-Y2B7,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,27/09/2025,14/10/2025,IC/0275/2025,Closed after intervention–in line with RAP,14/10/2025,27/11/2025,Thrift Books Global LLC
IC-431324-D3K7,Education and childcare,Further education,Personal Data Breach,Investigation Pursued,GDPR,28/09/2025,14/10/2025,IC/0276/2025,Closed after intervention–in line with RAP,14/10/2025,18/12/2025,St Anselm's College
