Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0207/2022,Walsh Auto Engineering Limited,05/04/2022,No further action
IC/0208/2022,Adler Manufacturing Limited,05/04/2022,No further action
IC/0134/2022,Wilson's School,05/04/2022,No Personal Data Involved
IC/0154/2022,UCC Coffee UK Limited ,06/04/2022,No further action
IC/0059/2022,KCA Deutag Drilling Limited,07/04/2022,No further action
IC/0062/2022,Chartered Accountants Australia and New Zealand,07/04/2022,No further action
IC/0064/2022,St Edmund Arrowsmith Catholic High School,07/04/2022,No further action
IC/0072/2022,St Wilfrid's Catholic Primary School,07/04/2022,No further action
IC/0801/2021,GoDaddy Europe Limited,07/04/2022,No further action
IC/0813/2021,Zael Ltd,07/04/2022,No Personal Data Involved
IC/0071/2022,Lockwood Publishing Ltd,08/04/2022,No further action
IC/0170/2022,D Jacobson & Sons Limited,08/04/2022,No further action
IC/0823/2021,Clements Worldwide,08/04/2022,No further action
IC/0830/2021,South Yorkshire Housing Association,08/04/2022,No further action
IC/0895/2021,Highland Stoneware Ltd,08/04/2022,No further action
IC/0649/2021,Social Foundry LLC,12/04/2022,No further action
IC/0224/2022,Scottish Power,12/04/2022,No Personal Data Involved
IC/0113/2022,Eastern Holdings Limited,14/04/2022,No further action
IC/0114/2022,HCRG Care Services Ltd,14/04/2022,No further action
IC/0160/2022,Expeditors International (UK) Limited,14/04/2022,No further action
IC/0145/2022,Royal Alexandra and Albert School,21/04/2022,No further action
IC/0767/2021,Hamed Karimi,21/04/2022,No further action
IC/0008/2022,Acne Limited,04/05/2022,No further action
IC/0011/2022,Wayne Leighton LLP,04/05/2022,No further action
IC/0012/2022,Amoria Bond Limited,04/05/2022,No further action
IC/0151/2022,H.R. Owen Plc,04/05/2022,No further action
IC/0637/2021,Silversea Cruises (UK) Limited,04/05/2022,No further action
IC/0639/2021,Healthcare Clarity Limited,04/05/2022,No further action
IC/0010/2022,Murray Accountancy Services Limited,05/05/2022,No further action
IC/0175/2022,Bank Saderat Plc,05/05/2022,No further action
IC/0185/2022,London College of Beauty Therapy,05/05/2022,No further action
IC/0129/2022,TVS Supply Chain Solutions Limited,11/05/2022,No further action
IC/0202/2022,Marks Tey Enterprises Ltd,11/05/2022,No further action
IC/0007/2022,Graham Smith Property Lawyers LLP,12/05/2022,No further action
IC/0161/2022,Hosted Desktop UK Ltd,12/05/2022,No further action
IC/0162/2022,Mark Davies & Associates ltd,12/05/2022,No further action
IC/0163/2022,Heriot Hughes Limited,12/05/2022,No further action
IC/0164/2022,Croner Group Limited,12/05/2022,No further action
IC/0165/2022,Culverhouse & Co. Ltd,12/05/2022,No further action
IC/0166/2022,Culverhouse Financial Planning Ltd,12/05/2022,No further action
IC/0169/2022,BLDA Architects Limited,12/05/2022,No further action
IC/0171/2022,Christ's Hospital,12/05/2022,No further action
IC/0173/2022,Efficiency North,12/05/2022,No further action
IC/0180/2022,Leonard Curtis Limited,12/05/2022,No further action
IC/0181/2022,Paula Smith Legal LLP,12/05/2022,No further action
IC/0186/2022,The Downs School,12/05/2022,No further action
IC/0221/2022,Senetic Ltd.,12/05/2022,No further action
IC/0777/2021,Westcol Ltd t/a Racquets Fitness Centre,12/05/2022,No further action
IC/0133/2022,The Japanese Shipowners' Association,16/05/2022,No further action
IC/0119/2022,Equine and Livestock Insurance Company Limited,17/05/2022,No further action
IC/0262/2022,Seymour Manufacturing International Limited,17/05/2022,No further action
IC/0635/2021,Facebook (Ireland) Ltd,17/05/2022,No further action
IC/0636/2021,WhatsApp Ireland Limited,17/05/2022,No further action
IC/0015/2022,Pristine Competitions Ltd,23/05/2022,No further action
IC/0132/2022,Edinburgh Festival Fringe Society,23/05/2022,No further action
IC/0791/2021,Simplify (UKLS Acquisitions Limited),26/05/2022,No further action
IC/0857/2021,Simplify (UKLS Acquisitions Limited),26/05/2022,No further action
IC/0206/2022,Swissport GB Limited,26/05/2022,No Personal Data Involved
IC/0153/2022,Haines Watts (East Midlands) Limited,27/05/2022,No further action
IC/0168/2022,Derwent Housing Association Limited,27/05/2022,No further action
IC/0178/2022,The RAC Group,27/05/2022,No further action
IC/0182/2022,The MacKenzie Law Practice,27/05/2022,No further action
IC/0825/2021,NFU Mutual,27/05/2022,No further action
IC/0827/2021,Ecclesiastical Insurance Office Plc,27/05/2022,No further action
IC/0829/2021,Bevan Brittan LLP,27/05/2022,No further action
IC/0115/2022,Brookson Group Limited,30/05/2022,No further action
IC/0189/2022,PPF Limited,30/05/2022,No further action
IC/0197/2022,Islington and Shoreditch Housing Association,30/05/2022,No further action
IC/0198/2022,Zimmer Group (UK) Ltd,30/05/2022,No further action
IC/0143/2022,Wilkin & Sons Limited,06/06/2022,No further action
IC/0623/2021,HART,06/06/2022,No further action
IC/0219/2022,NCC CRiS Limited,08/06/2022,No further action
IC/0364/2021,Halcyon Independent Financial Advisers Limited,08/06/2022,No further action
IC/0142/2022,Fiscal Reps Limited,10/06/2022,No further action
IC/0176/2022,Wilshire Associates Incorporated,10/06/2022,No further action
IC/0191/2022,Aon UK Limited,10/06/2022,No further action
IC/0252/2022,Wells Farm Dairy Limited,10/06/2022,No further action
IC/0255/2022,Charles Rippin and Turner Limited,10/06/2022,No further action
IC/0303/2022,Bohunt Education Trust,10/06/2022,No further action
IC/0614/2021,Zeptolab UK,10/06/2022,No further action
IC/0769/2021,Princess Yachts Limited,10/06/2022,No further action
IC/0273/2022,Soldo Software Services Ltd,15/06/2022,No further action
IC/0274/2022,Soldo Financial Services Ltd,15/06/2022,No further action
IC/0817/2021,Earthwise Girls Limited,15/06/2022,No further action
IC/0256/2022,Futura Foods UK Ltd,17/06/2022,No further action
IC/0340/2022,Elavon Financial Services DAC,17/06/2022,No further action
IC/0814/2021,Acumension Ltd,17/06/2022,No further action
IC/0244/2022,Shipston High School,21/06/2022,No further action
