ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ClosedDate,CRIMSON_DataController
IC-221997-Q9S8,General business,Recruitment agencies,Personal Data Breach,Investigation Pursued,GDPR,15/03/2023,06/04/2023,IC/0127/2023,No further action,24/05/2023,Perfect Placement UK Limited
IC-218446-P1Y4,General business,Motor Trade,Personal Data Breach,Investigation Pursued,GDPR,26/02/2023,24/04/2023,IC/0143/2023,No further action,30/05/2023,Hyundai Motor UK Limited
IC-218482-K8G3,General business,Motor Trade,Personal Data Breach,Investigation Pursued,GDPR,27/02/2023,24/04/2023,IC/0144/2023,No further action,30/05/2023,Kia UK Limited
IC-217220-M1P9,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,17/02/2023,07/03/2023,IC/0079/2023,No further action,30/05/2023,Kinetic Enterprises Limited
IC-219658-B9X5,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,06/03/2023,23/03/2023,IC/0094/2023,No further action,30/05/2023,Learning Partners Academy Trust
IC-219578-H3D7,Retail and manufacture,Manufacturing,Personal Data Breach,Investigation Pursued,GDPR,05/03/2023,09/03/2023,IC/0085/2023,No further action,01/06/2023,Craig and Rose Limited
IC-218351-C8R5,Retail and manufacture,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,24/02/2023,03/04/2023,IC/0113/2023,No further action,01/06/2023,WH Smith Plc
IC-223851-L1V3,Education and childcare,Private schools,Personal Data Breach,Investigation Pursued,GDPR,24/03/2023,12/05/2023,IC/0164/2023,No further action,12/06/2023,The Bede's School
IC-221980-N5K9,Health,Secondary care,Personal Data Breach,Investigation Pursued,GDPR,15/03/2023,11/04/2023,IC/0129/2023,No further action,16/06/2023,Walsall Healthcare NHS Trust
IC-213313-C4K3,"Finance, insurance and credit",Insurance,Personal Data Breach,Investigation Pursued,GDPR,26/01/2023,31/03/2023,IC/0109/2023,No further action,19/06/2023,Canopius Managing Agents Limited
IC-227265-K9Y5,Health,Healthcare and pharmaceuticals,Personal Data Breach,Investigation Pursued,GDPR,08/04/2023,09/05/2023,IC/0159/2023,No further action,19/06/2023,Cyprotex Discovery Ltd
IC-227293-T9R8,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,11/04/2023,04/05/2023,IC/0155/2023,No further action,19/06/2023,Fresca Group Limited
IC-209186-V4R4,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,Criminal Justice & DP Regulations 2014,05/01/2023,03/04/2023,IC/0111/2023,No further action,19/06/2023,Mobile Gaming Studios Limited
IC-191116-N2R4,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,13/09/2022,04/04/2023,IC/0120/2023,No further action,19/06/2023,Myton School
IC-231900-W9R7,Online Technology and Telecoms,Social media,Personal Data Breach,Investigation Pursued,GDPR,06/05/2023,23/05/2023,IC/0171/2023,No further action,28/06/2023,TikTok Information Technologies UK Limited
IC-224727-Y9Y4,Transport and leisure,Accommodation providers,Personal Data Breach,Investigation Pursued,GDPR,29/03/2023,18/04/2023,IC/0136/2023,No further action,29/06/2023,Poultry Opco Limited
